,album_id,album_name,artist_id,artist_name,duration_ms,explicit,popularity,release_date,song_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_popularity,record_label,artist_followers,artist_genres,artist_popularity
0ymt9vuyvq7dwxsPoFpjQ1,1947pR7z8Bq1cPm9962UJC,Ralph Castelli,4o16FybIZV7WPD7tOl7PUd,Ralph Castelli,236619,False,34,2017-09-02,Better Things,0.77,0.829,0.456,0.0228,5,0.258,-7.942,0,0.106,142.081,4,0.153,49,Ralph Castelli,5362,['alaska_indie'],43
2gleBXP1voa4CxIf6qcroT,3aexuoLODKhPcjBhRg7XFh,Bad Timing,2rBIJIECWuDEzaiewMf0Kr,loren north,204987,False,0,2017-09-19,Bad Timing,0.572,0.734,0.606,9.92e-05,10,0.12,-7.21,0,0.0751,101.014,4,0.216,0,loren north,2737,['indie_electro-pop'],38
2nAMpBYU3EGIfz9SwL7tVs,5kttFXtVXjTfoaqkGz5Ack,Roads,09s6bLEw45wioK9ytf3nsA,Westerman,193573,False,0,2017-06-06,Roads,0.92,0.712,0.305,0.645,10,0.102,-15.505,1,0.0359,90.98,4,0.467,0,Blue Flowers Music,9540,[],48
5CsTRzFdaaDTbaeNYabMUf,3zR5LNfJggin4qbCzF21jd,No(W)here,7nuwunwXRTVnt5vapnCthz,Olive B,208797,False,25,2017-05-29,For You,0.626,0.701,0.257,0,0,0.0848,-10.116,0,0.0407,95.981,4,0.178,25,Olive B,724,['canadian_contemporary_r&b'],29
2KbgGwBmL5zLr9yUGh8kLX,2AeJweNggqYkvSHcgyQpuK,Feel It Out,2rBIJIECWuDEzaiewMf0Kr,loren north,173942,False,28,2016-08-24,Feel It Out,0.189,0.761,0.632,7.42e-05,8,0.0792,-5.868,1,0.035,93.975,4,0.364,24,loren north,2737,['indie_electro-pop'],38
5R7T1iTPdsSeUKGE2V6xT9,3zR5LNfJggin4qbCzF21jd,No(W)here,7nuwunwXRTVnt5vapnCthz,Olive B,221414,True,14,2017-05-29,Slowly,0.535,0.58,0.475,0.000126,0,0.0655,-9.228,1,0.048,74.974,4,0.304,25,Olive B,724,['canadian_contemporary_r&b'],29
2aK8jGSt5tbg582SMv6PnU,3zR5LNfJggin4qbCzF21jd,No(W)here,7nuwunwXRTVnt5vapnCthz,Olive B,227736,False,5,2017-05-29,Photographs,0.227,0.464,0.522,0.000507,4,0.213,-9.325,0,0.0703,77.547,4,0.199,25,Olive B,724,['canadian_contemporary_r&b'],29
1rYeL2lHDreDW5tb4sgPK6,0a1jypQpuHifoY7T5HH15m,If You Wait (Deluxe Edition),3Bd1cgCjtCI32PYvDC3ynO,London Grammar,207461,False,9,2013-09-09,Hey Now,0.413,0.654,0.282,0.101,5,0.103,-12.16,1,0.0351,120.075,4,0.0393,9,Metal & Dust Recordings Ltd,856260,"['chamber_pop', 'indie_r&b', 'metropopolis', 'pop']",68
4hnPw0BbVyoI1abKJZPSaS,0CuYNS755Ow710G2E7aLDE,Life of a Dark Rose,7d3WFRME3vBY2cgoP38RDo,Lil Skies,195032,True,63,2017-12-12,Lettuce Sandwich,0.0042,0.712,0.593,0,1,0.114,-7.672,0,0.0358,149.967,4,0.549,86,All We Got Ent.,2136305,"['rap', 'trap_music']",84
689uBlyIufk2LUhAwjny4w,6WRXWFeEuHKO11fRgMopzu,Nowadays (feat. Landon Cube),7d3WFRME3vBY2cgoP38RDo,Lil Skies,203907,True,76,2017-12-20,Nowadays (feat. Landon Cube),0.157,0.745,0.646,0,6,0.338,-6.987,0,0.17,79.993,4,0.46,73,All We Got Ent.,2136305,"['rap', 'trap_music']",84
2vQFU89Ax4ZXdNFPHoGuds,5iTOtphdoR3vkVI4n0boCI,Hurt Somebody,2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,168640,False,19,2018-01-12,Hurt Somebody,0.36,0.627,0.562,0,1,0.252,-5.133,1,0.31,114.945,4,0.467,16,Universal Music Group,83297,"['australian_pop', 'indie_cafe_pop', 'neo_mellow', 'pop']",72
5f07mRTMmzjS7nKuVHbk1C,0bsCHZkL12nJsVYOXHqyRc,Swervin',6FRwPGycj2RSfyeUp1AH1J,Lonny X,150906,True,22,2018-01-08,Swervin',0.0317,0.842,0.531,1.79e-05,1,0.0725,-5.603,1,0.0437,122.053,4,0.198,19,Lazy Boy Records,845,[],25
